Ppv,Pdg,Pch,Pdch,SOC,Pbuy,Psell,Eload,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.0,0.0,0.0,0.0,0,0.0,0.0,1671.1002879739701,0.0,0.07054,0.1635,1671.1002879739701,0.0,-7.1000000000000005,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1472.0215025948482,0.0,0.07054,0.1635,1472.0215025948482,0.0,-7.5,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1401.550121603571,0.0,0.07054,0.1635,1401.550121603571,0.0,-7.6,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1383.8030395301714,0.0,0.07054,0.1635,1383.8030395301714,0.0,-7.6,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1400.0814721547179,0.0,0.07054,0.1635,1400.0814721547179,0.0,-7.800000000000001,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1516.6152370381485,0.0,0.07054,0.1635,1516.6152370381485,0.0,-8.3,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1943.3390129083227,0.0,0.07054,0.1635,1943.3390129083227,0.0,-8.700000000000001,10
4.3231744389449715e-15,0.0,0.0,0.0,0,0.0,0.0,2554.866041959637,4.3231744389449715e-15,0.07054,0.1635,2554.866041959637,11.984108386706698,-7.7,10
1.3508990904345494e-13,0.0,0.0,0.0,0,0.0,0.0,2441.959560030148,1.3508990904345494e-13,0.07054,0.1635,2441.959560030148,374.60093272583316,-5.300000000000001,10
2.1429311699197543e-13,0.0,0.0,0.0,0,0.0,0.0,2119.9316721162,2.1429311699197543e-13,0.07054,0.1635,2119.9316721162,594.3667008660068,-2.8000000000000003,10
1.8040002814703122e-13,0.0,0.0,0.0,0,0.0,0.0,2108.543690749174,1.8040002814703122e-13,0.07054,0.1635,2108.543690749174,500.36893507281604,0.0,10
1.918561227758862e-13,0.0,0.0,0.0,0,0.0,0.0,2030.655521893218,1.918561227758862e-13,0.07054,0.1635,2030.655521893218,532.1882284712366,2.0,10
1.971146486644062e-13,0.0,0.0,0.0,0,0.0,0.0,1943.1811168703753,1.971146486644062e-13,0.07054,0.1635,1943.1811168703753,546.7968854463805,3.0,10
